x_byte0,x_byte1,y_byte0,y_byte1,dac1,dac2
134,240,224,183,112,112
251,240,248,183,112,112
231,240,195,183,111,111
219,240,217,183,111,111
49,243,57,180,110,110
48,243,7,180,110,110
18,243,102,180,108,108
12,243,113,180,108,108
115,243,120,180,107,107
115,243,71,180,107,107
85,243,89,180,107,107
83,243,90,180,106,106
182,243,189,180,105,105
169,243,158,180,104,104
135,243,224,180,104,104
138,243,242,180,103,103
228,243,205,180,103,103
211,243,217,180,102,102
197,243,40,181,102,102
36,242,10,181,101,101
40,242,29,181,100,100
7,242,105,181,100,100
5,242,105,181,99,99
121,242,78,181,99,99
101,242,75,181,98,98
88,242,160,181,97,97
187,242,130,181,96,96
159,242,230,181,96,96
158,242,228,181,95,95
254,242,198,181,94,94
253,242,197,181,94,94
208,242,222,181,93,93
223,242,221,181,93,93
49,245,62,178,92,92
33,245,3,178,92,92
19,245,18,178,91,91
2,245,103,178,91,91
117,245,115,178,90,90
100,245,70,178,90,90
105,245,72,178,90,90
70,245,166,178,89,89
76,245,172,178,89,89
162,245,131,178,88,88
172,245,141,178,88,88
152,245,153,178,87,87
142,245,239,178,87,87
238,245,207,178,85,85
198,245,36,179,85,85
195,245,32,179,84,84
36,244,5,179,84,84
34,244,3,179,83,83
25,244,103,179,83,83
5,244,100,179,82,82
103,244,71,179,82,82
152,0,0,0,81,81
103,244,71,179,81,81
64,244,175,179,80,80
170,244,138,179,79,79
159,244,159,179,79,79
133,244,226,179,78,78
143,244,235,179,78,78
232,244,209,179,77,77
215,244,208,179,77,77
213,244,221,179,76,76
201,244,53,176,76,76
37,247,0,176,75,75
42,247,22,176,75,75
10,247,118,176,73,73
124,247,123,176,73,73
109,247,87,176,73,73
108,247,87,176,72,72
65,247,172,176,72,72
78,247,170,176,71,71
78,247,170,176,71,71
152,0,0,15,71,71
174,247,140,176,70,70
132,247,236,176,69,69
248,247,197,176,69,69
228,247,192,176,68,68
208,247,222,176,68,68
199,247,35,177,67,67
53,246,49,177,67,67
56,246,2,177,66,66
40,246,18,177,66,66
117,246,112,177,65,65
126,246,121,177,65,65
81,246,92,177,64,64
180,246,176,177,63,63
179,246,190,177,63,63
176,246,188,177,62,62
168,246,149,177,62,62
156,246,153,177,62,62
152,246,228,177,61,61
246,246,242,177,61,61
152,0,0,91,60,60
219,246,217,177,59,59
218,246,216,177,59,59
63,249,60,190,59,59
59,249,57,190,58,58
31,249,29,190,57,57
30,249,28,190,57,57
4,249,97,190,57,57
113,249,126,190,56,56
112,249,124,190,56,56
101,249,67,190,56,56
82,249,82,190,56,56
71,249,167,190,55,55
183,249,183,190,55,55
179,249,178,190,54,54
171,249,136,190,54,54
156,249,154,190,53,53
141,249,232,190,53,53
235,249,203,190,51,51
234,249,202,190,51,51
203,249,43,191,50,50
32,248,15,191,50,50
5,248,100,191,49,49
1,248,96,191,48,48
0,248,110,191,48,48
102,248,71,191,48,48
97,248,66,191,47,47
97,248,65,191,47,47
68,248,164,191,46,46
182,248,179,191,46,46
185,248,130,191,45,45
169,248,146,191,45,45
158,248,227,191,44,44
158,248,228,191,44,44
138,248,245,191,44,44
211,248,218,191,43,43
53,251,48,188,42,42
50,251,60,188,41,41
33,251,10,188,41,41
23,251,16,188,41,41
20,251,29,188,40,40
117,251,112,188,39,39
152,0,0,147,39,39
